code,name,kana,market,industry,kana
2264,森永乳業,モリナガニュウギョウ,東証プライム,食料品,モリナガニュウギョウ
2266,六甲バター,ロッコウバター,東証プライム,食料品,ロッコウバター
2267,ヤクルト本社,ヤクルトホンシャ,東証プライム,食料品,ヤクルトホンシャ
2269,明治ホールディングス,アキハルホールディングス,東証プライム,食料品,アキハルホールディングス
2270,雪印メグミルク,ユキジルシメグミルク,東証プライム,食料品,ユキジルシメグミルク
2281,プリマハム,プリマハム,東証プライム,食料品,プリマハム
2282,日本ハム,ニッポンハム,東証プライム,食料品,ニッポンハム
2288,丸大食品,マルダイショクヒン,東証プライム,食料品,マルダイショクヒン
2292,Ｓ　Ｆｏｏｄｓ,Ｓ　Ｆｏｏｄｓ,東証プライム,食料品,Ｓ　Ｆｏｏｄｓ
2294,柿安本店,カキヤスホンテン,東証プライム,食料品,カキヤスホンテン
2296,伊藤ハム米久ホールディングス,イトウハムヨネキュウホールディングス,東証プライム,食料品,イトウハムヨネキュウホールディングス
2301,学情,ガクジョウ,東証プライム,サービス業,ガクジョウ
2307,クロスキャット,クロスキャット,東証プライム,情報・通信業,クロスキャット
2317,システナ,システナ,東証プライム,情報・通信業,システナ
2325,ＮＪＳ,ＮＪＳ,東証プライム,サービス業,ＮＪＳ
2326,デジタルアーツ,デジタルアーツ,東証プライム,情報・通信業,デジタルアーツ
2327,日鉄ソリューションズ,ニッテツソリューションズ,東証プライム,情報・通信業,ニッテツソリューションズ
2331,ＡＬＳＯＫ,ＡＬＳＯＫ,東証プライム,サービス業,ＡＬＳＯＫ
2335,キューブシステム,キューブシステム,東証プライム,情報・通信業,キューブシステム
2337,いちご,イチゴ,東証プライム,不動産業,イチゴ
2353,日本駐車場開発,ニホンチュウシャジョウカイハツ,東証プライム,不動産業,ニホンチュウシャジョウカイハツ
2359,コア,コア,東証プライム,情報・通信業,コア
2371,カカクコム,カカクコム,東証プライム,サービス業,カカクコム
2374,セントケア・ホールディング,セントケア・ホールディング,東証プライム,サービス業,セントケア・ホールディング
2378,ルネサンス,ルネサンス,東証プライム,サービス業,ルネサンス
2379,ディップ,ディップ,東証プライム,サービス業,ディップ
2384,ＳＢＳホールディングス,ＳＢＳホールディングス,東証プライム,陸運業,ＳＢＳホールディングス
2389,デジタルホールディングス,デジタルホールディングス,東証プライム,サービス業,デジタルホールディングス
2395,新日本科学,シンニホンカガク,東証プライム,サービス業,シンニホンカガク
2410,キャリアデザインセンター,キャリアデザインセンター,東証プライム,サービス業,キャリアデザインセンター
2413,エムスリー,エムスリー,東証プライム,サービス業,エムスリー
2429,ワールドホールディングス,ワールドホールディングス,東証プライム,サービス業,ワールドホールディングス
2432,ディー・エヌ・エー,ディー・エヌ・エー,東証プライム,情報・通信業,ディー・エヌ・エー
2433,博報堂ＤＹホールディングス,ハクホウドウＤＹホールディングス,東証プライム,サービス業,ハクホウドウＤＹホールディングス
2445,タカミヤ,タカミヤ,東証プライム,サービス業,タカミヤ
2461,ファンコミュニケーションズ,ファンコミュニケーションズ,東証プライム,サービス業,ファンコミュニケーションズ
2462,ライク,ライク,東証プライム,サービス業,ライク
2471,エスプール,エスプール,東証プライム,サービス業,エスプール
2475,ＷＤＢホールディングス,ＷＤＢホールディングス,東証プライム,サービス業,ＷＤＢホールディングス
2491,バリューコマース,バリューコマース,東証プライム,サービス業,バリューコマース
2492,インフォマート,インフォマート,東証プライム,サービス業,インフォマート
2501,サッポロホールディングス,サッポロホールディングス,東証プライム,食料品,サッポロホールディングス
2502,アサヒグループホールディングス,アサヒグループホールディングス,東証プライム,食料品,アサヒグループホールディングス
2503,キリンホールディングス,キリンホールディングス,東証プライム,食料品,キリンホールディングス
2531,宝ホールディングス,タカラホールディングス,東証プライム,食料品,タカラホールディングス
2533,オエノンホールディングス,オエノンホールディングス,東証プライム,食料品,オエノンホールディングス
2540,養命酒製造,ヨウメイシュセイゾウ,東証プライム,食料品,ヨウメイシュセイゾウ
256A,飛島ホールディングス,トビシマホールディングス,東証プライム,建設業,トビシマホールディングス
2579,コカ・コーラ　ボトラーズジャパンホールディングス,コカ・コーラ　ボトラーズジャパンホールディングス,東証プライム,食料品,コカ・コーラ　ボトラーズジャパンホールディングス
2585,ライフドリンク　カンパニー,ライフドリンク　カンパニー,東証プライム,食料品,ライフドリンク　カンパニー
2587,サントリー食品インターナショナル,サントリーショクヒンインターナショナル,東証プライム,食料品,サントリーショクヒンインターナショナル
2590,ダイドーグループホールディングス,ダイドーグループホールディングス,東証プライム,食料品,ダイドーグループホールディングス
2593,伊藤園,イトウエン,東証プライム,食料品,イトウエン
25935,伊藤園第１種優先株式,イトウエンダイ１シュユウセンカブシキ,東証プライム,食料品,イトウエンダイ１シュユウセンカブシキ
2594,キーコーヒー,キーコーヒー,東証プライム,食料品,キーコーヒー
2602,日清オイリオグループ,ニッシンオイリオグループ,東証プライム,食料品,ニッシンオイリオグループ
2607,不二製油,フジセイユ,東証プライム,食料品,フジセイユ
2613,Ｊ－オイルミルズ,Ｊ－オイルミルズ,東証プライム,食料品,Ｊ－オイルミルズ
262A,インターメスティック,インターメスティック,東証プライム,小売業,インターメスティック
2659,サンエー,サンエー,東証プライム,小売業,サンエー
2664,カワチ薬品,カワチヤクヒン,東証プライム,小売業,カワチヤクヒン
2670,エービーシー・マート,エービーシー・マート,東証プライム,小売業,エービーシー・マート
2674,ハードオフコーポレーション,ハードオフコーポレーション,東証プライム,小売業,ハードオフコーポレーション
2676,高千穂交易,タカチホコウエキ,東証プライム,卸売業,タカチホコウエキ
2678,アスクル,アスクル,東証プライム,小売業,アスクル
2681,ゲオホールディングス,ゲオホールディングス,東証プライム,小売業,ゲオホールディングス
2685,アンドエスティＨＤ,アンドエスティＨＤ,東証プライム,小売業,アンドエスティＨＤ
268A,リガク・ホールディングス,リガク・ホールディングス,東証プライム,精密機器,リガク・ホールディングス
2692,伊藤忠食品,イトウチュウショクヒン,東証プライム,卸売業,イトウチュウショクヒン
2695,くら寿司,クラズシ,東証プライム,小売業,クラズシ
2726,パルグループホールディングス,パルグループホールディングス,東証プライム,小売業,パルグループホールディングス
2730,エディオン,エディオン,東証プライム,小売業,エディオン
2733,あらた,アラタ,東証プライム,卸売業,アラタ
2734,サーラコーポレーション,サーラコーポレーション,東証プライム,小売業,サーラコーポレーション
